Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
7.413830430E-1,2.853000164E0,-4.92E+00,2.335950136E0
7.453388890E-1,2.641950130E0,-5.13E+00,2.182049990E0
7.492948700E-1,2.488950014E0,-5.25E+00,2.125050068E0
7.532509470E-1,2.317050219E0,-5.28E+00,2.163000107E0
7.572063310E-1,2.182049990E0,-5.38E+00,2.355000019E0
7.611623990E-1,2.163000107E0,-5.49E+00,2.565000057E0
7.651179380E-1,2.221050024E0,-5.67E+00,3.006000042E0
7.690737840E-1,2.296950102E0,-5.99E+00,3.868050098E0
7.730294330E-1,2.853000164E0,-6.41E+00,5.092950344E0
7.769858950E-1,3.810000181E0,-6.64E+00,6.643950462E0
7.809422790E-1,3.523050070E0,-5.55E+00,7.870050430E0
7.848986740E-1,4.308000088E0,-5.73E+00,8.712000847E0
7.888550590E-1,5.170050144E0,-6.53E+00,9.823050499E0
7.928110590E-1,5.572050095E0,-7.05E+00,1.062705040E1
7.967677550E-1,5.743950367E0,-7.22E+00,1.114395046E1
8.007237550E-1,5.782950401E0,-6.91E+00,1.133595085E1
8.046802170E-1,5.992950439E0,-6.72E+00,1.133595085E1
8.086365100E-1,5.992950439E0,-6.26E+00,1.114395046E1
8.125928180E-1,6.070050240E0,-5.86E+00,1.080000019E1
8.165495100E-1,6.414000511E0,-5.71E+00,1.045500088E1
8.205058130E-1,6.970050335E0,-5.63E+00,1.016805077E1
8.244618130E-1,7.410000324E0,-5.44E+00,9.880050659E0
8.284181980E-1,7.831050396E0,-5.13E+00,9.631950378E0
8.323748180E-1,8.368050575E0,-4.90E+00,9.496950150E0
8.363315100E-1,8.980050087E0,-4.59E+00,9.478050232E0
8.402875100E-1,9.496950150E0,-4.35E+00,9.651000023E0
8.442442800E-1,9.919050217E0,-4.23E+00,9.823050499E0
8.482012800E-1,9.957000732E0,-3.73E+00,1.005300045E1
8.521576640E-1,1.024395084E1,-3.69E+00,1.032105064E1
8.561138950E-1,1.106805038E1,-4.29E+00,1.087605095E1
8.600702030E-1,1.137405014E1,-4.65E+00,1.143195057E1
8.640265100E-1,1.148895073E1,-4.81E+00,1.181505013E1
8.679825630E-1,1.173795033E1,-4.84E+00,1.229295063E1
8.719384100E-1,1.208295059E1,-4.79E+00,1.265700054E1
8.758946400E-1,1.258005047E1,-4.59E+00,1.292505074E1
