"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.212888292E0,8.569230194E0,6.765930176E-2,3.503913574E0
1.222889292E0,8.564140778E0,1.254391479E-1,4.569697266E0
1.232891291E0,8.166417847E0,2.862048340E-1,5.571114807E0
1.242893292E0,7.102879486E0,7.110214233E-2,5.953419800E0
1.252894292E0,6.979535980E0,-5.722599792E-1,5.327122192E0
1.262896291E0,6.641987915E0,-1.039737854E0,4.120481415E0
1.272897291E0,6.408024445E0,-1.278191986E0,2.651735687E0
1.282899292E0,6.336323547E0,-1.162632294E0,1.559606781E0
1.292900292E0,7.083270264E0,-7.384144592E-1,1.533710632E0
1.302902292E0,7.862400055E0,-2.918930054E-2,2.237996063E0
1.312903292E0,7.765401764E0,5.089416504E-2,2.743195496E0
1.322905291E0,6.938820648E0,-1.291963348E0,2.000290375E0
1.332907292E0,5.744454346E0,-3.196452942E0,1.486558685E0
1.342908292E0,5.649851074E0,-4.715494080E0,2.860102386E0
1.352910291E0,6.737040253E0,-4.149071960E0,2.670147400E0
1.362911291E0,8.360414429E0,-3.227588196E0,1.508263550E0
1.372913292E0,8.431067505E0,-2.452649689E0,2.627037048E-1
1.382914292E0,9.441466370E0,-2.230212250E0,-4.523593140E-1
1.392916291E0,1.049198181E1,-3.030747528E0,2.760260010E-1
1.402918292E0,1.094972992E1,-4.119882660E0,1.452429657E0
1.412919291E0,1.121078705E1,-4.960534515E0,1.884730682E0
1.422921292E0,1.200443665E1,-5.274880829E0,2.350412292E0
1.432922292E0,1.369502106E1,-5.835764465E0,5.501659241E0
1.442924291E0,1.498339188E1,-6.115981750E0,9.081315308E0
1.452925291E0,1.412357986E1,-5.731880493E0,7.510332184E0
1.462927292E0,1.450992645E1,-5.865402832E0,7.398365021E0
1.472928292E0,1.383512970E1,-6.805897064E0,6.780000916E0
1.482930291E0,1.380908386E1,-8.339008942E0,5.347928925E0
1.492932292E0,1.436098618E1,-9.548044739E0,4.924758911E0
1.502933292E0,1.515268982E1,-1.056532928E1,4.590354309E0
1.512935292E0,1.583302505E1,-1.146675476E1,4.513563995E0
1.522936292E0,1.609408218E1,-1.150776947E1,4.973856812E0
1.532938291E0,1.655736877E1,-1.095302307E1,6.223757629E0
1.542939291E0,1.686453003E1,-1.037133270E1,8.180638275E0
1.552941292E0,1.686707474E1,-9.984986115E0,9.195677490E0
1.562943291E0,1.724713440E1,-9.823322296E0,9.020541687E0
1.572944291E0,1.780726959E1,-9.777068481E0,8.463549957E0
1.582946292E0,1.833971237E1,-1.038510406E1,8.459957428E0
1.592947292E0,1.932017349E1,-1.076935501E1,8.319699097E0
1.602949291E0,2.056034454E1,-1.103595062E1,6.579268341E0
1.612950291E0,2.112003067E1,-1.207224564E1,6.506669312E0
1.622952292E0,2.104563538E1,-1.314207092E1,7.550299072E0
1.632954292E0,1.973481125E1,-1.415217041E1,8.894354095E0
1.642955292E0,1.797926193E1,-1.532707718E1,9.115743713E0
1.652957291E0,1.537782166E1,-1.610321320E1,7.998018036E0
1.662958291E0,1.220636673E1,-1.637609573E1,6.362369385E0
1.672960292E0,9.843679962E0,-1.602627319E1,4.894821167E0
1.682961292E0,8.503516846E0,-1.552840851E1,3.916156311E0
1.692963291E0,7.393724670E0,-1.478804810E1,3.000211029E0
1.702964291E0,6.432573395E0,-1.338621323E1,2.279459839E0
1.712966292E0,5.990841980E0,-1.165371597E1,1.479673004E0
