"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.628778417E0,-3.278632050E0,-2.071287735E1,5.189109192E0
2.638779417E0,-2.544259186E0,-1.995590149E1,1.038390656E0
2.648781416E0,-3.129841461E0,-2.408745987E1,-2.259850616E0
2.658782416E0,-2.609373779E0,-2.976275803E1,-6.509513397E0
2.668783417E0,-2.745740204E0,-3.327969452E1,-1.066038162E1
2.678785417E0,-5.491630096E0,-3.193593887E1,-1.119851257E1
2.688786417E0,-8.116870880E0,-2.750769745E1,-8.847501526E0
2.698787417E0,-8.794811096E0,-2.377984955E1,-6.828949127E0
2.708789417E0,-8.474177856E0,-2.002281235E1,-5.082231445E0
2.718790417E0,-7.268884277E0,-1.645737671E1,-2.126028900E0
2.728791417E0,-5.639821930E0,-1.481589020E1,5.006339264E0
2.738792417E0,-1.394200745E0,-1.309177551E1,1.715208206E1
2.748794416E0,1.119821320E0,-1.009470795E1,1.207299408E1
2.758795416E0,1.881287842E0,-7.558082886E0,8.171956329E0
2.768796416E0,2.473007355E0,-5.587430878E0,4.727918243E0
2.778798417E0,3.121159515E0,-4.704866180E0,2.702180786E0
2.788799417E0,2.634671173E0,-3.899989929E0,6.574328613E-1
2.798800417E0,2.610122223E0,-2.604134674E0,-2.851420441E0
2.808802417E0,3.479364624E0,-1.242416382E0,-5.156327362E0
2.818803417E0,2.954406281E0,-2.874023438E-2,-7.659422150E0
2.828804417E0,1.306932220E0,1.048120422E0,-1.112845825E1
2.838806416E0,4.525090027E-1,1.795216827E0,-1.285182449E1
2.848807416E0,1.208736420E0,2.954555969E0,-1.068253555E1
2.858808416E0,1.537303162E0,3.977977753E0,-7.510930939E0
2.868809416E0,1.479074249E0,4.511019287E0,-5.253924408E0
2.878811125E0,1.544188843E0,4.987029419E0,-3.706592102E0
2.888812125E0,1.611848145E0,5.492827606E0,-2.530188446E0
2.898813125E0,1.744622040E0,5.949228516E0,-1.853296051E0
2.908815125E0,1.878294067E0,6.337371368E0,-1.294358368E0
2.918816125E0,1.700314178E0,6.406677246E0,-9.472302246E-1
2.928817125E0,1.040486298E0,5.744753723E0,-3.772155762E-1
2.938819125E0,-3.248245239E-2,3.634292450E0,3.650907898E-1
2.948820125E0,-7.222480774E-1,1.662742310E0,1.121467896E0
2.958821125E0,-1.315464478E0,5.198689270E-1,2.634820862E0
2.968823125E0,-2.419418793E0,-3.749702454E-1,4.464466095E0
2.978824125E0,-2.803070984E0,-7.699987793E-1,3.940705261E0
2.988825125E0,-2.868484955E0,-1.049168243E0,2.620301056E0
2.998826125E0,-3.904031525E0,-1.775158539E0,1.652862854E0
3.008828125E0,-3.031645660E0,-1.746118927E0,6.933581543E-1
3.018829125E0,-2.970572662E0,-2.036515045E0,3.944297791E-1
3.028830125E0,-2.823877716E0,-2.369422760E0,3.625460815E-1
3.038832125E0,-2.558180237E0,-2.591411133E0,3.683839417E-1
3.048833125E0,-2.332449646E0,-2.734962616E0,3.041674805E-1
3.058834125E0,-2.070344696E0,-2.828218689E0,1.881587219E-1
3.068836125E0,-1.812131653E0,-2.719245300E0,-3.406915283E-1
3.078837125E0,-1.471889191E0,-2.615810394E0,-1.098565521E0
3.088838125E0,-8.087681580E-1,-2.483784943E0,-1.785187683E0
3.098840125E0,-4.098477173E-1,-2.239492950E0,-2.318827972E0
3.108841125E0,-4.472698975E-1,-2.269430695E0,-2.671494598E0
3.118842125E0,-6.902146912E-1,-3.349883881E0,-2.276166687E0
3.128843125E0,2.110610962E-2,-1.032867142E1,-1.383572845E0
3.138845125E0,-6.587800598E-1,-2.908556625E1,-3.195704498E0
3.148846125E0,-4.217030640E0,-5.052997238E1,-6.997798004E0
3.158847125E0,-2.345921631E0,-5.377103256E1,-7.572602692E0
3.168849125E0,2.756218414E0,-3.409714462E1,-5.690416718E0
3.178850125E0,1.993704071E0,-2.528197586E1,-2.172582092E0
3.188851125E0,1.794318695E0,-2.796334991E1,5.126988373E0
3.198853125E0,6.105952606E0,-2.748135223E1,1.838342148E1
3.208854125E0,3.499123535E0,-2.342119537E1,8.610095215E0
3.218855125E0,-3.338058472E-2,-1.691108322E1,3.578458557E0
3.228856125E0,-2.912044373E0,-1.168874313E1,1.049168243E0
3.238858125E0,-5.054988098E0,-7.722890167E0,-1.044527893E0
3.248859125E0,-4.484823761E0,-4.636308746E0,-3.277434540E0
3.258860125E0,-3.744463348E0,-3.070564728E0,-5.337301025E0
3.268862125E0,-2.027683411E0,-3.563190308E0,-4.941074982E0
3.278863125E0,6.840774536E-1,-4.234693909E0,-5.102738800E0
3.288864125E0,2.780018921E0,-5.415887604E0,-5.485941925E0
3.298866125E0,3.681743774E0,-7.146738281E0,-5.384003906E0
3.308867125E0,3.467688904E0,-8.561596069E0,-5.313949585E0
3.318868125E0,2.942131805E0,-9.735155640E0,-4.750820618E0
3.328870125E0,2.284848633E0,-1.143487106E1,-4.760550385E0
3.338871125E0,2.088157654E0,-1.360850098E1,-5.572911072E0
3.348872125E0,2.093396759E0,-1.497620682E1,-6.197861481E0
3.358874125E0,1.289568329E0,-1.509999939E1,-5.994883575E0
3.368875125E0,-2.784210205E-1,-1.396386200E1,-4.902155914E0
3.378876125E0,-1.714235229E0,-1.241877502E1,-3.286415863E0
3.388877125E0,-2.600991211E0,-1.146421005E1,-8.825646973E-1
3.398879125E0,-3.704346771E0,-1.049302963E1,2.222278748E0
3.408880125E0,-4.974754944E0,-1.039588165E1,4.597988434E0
3.418881125E0,-3.440146179E0,-1.254331604E1,1.677711182E0
3.428883125E0,-1.185834045E0,-1.595292572E1,-2.870580597E0
3.438884125E0,9.036708069E-1,-1.986578888E1,-6.671925659E0
3.448885125E0,2.629731445E0,-2.424163925E1,-9.823322296E0
3.458887125E0,3.078348541E0,-2.792862213E1,-1.244272522E1
3.468888125E0,1.337169342E0,-2.910128357E1,-1.321227493E1
3.478889125E0,-1.237776031E0,-2.673455521E1,-1.144490021E1
3.488890125E0,-2.085014191E0,-2.358585297E1,-8.817264404E0
3.498892125E0,-2.375859375E0,-2.149305496E1,-6.568939819E0
3.508893125E0,-2.393672333E0,-2.031320847E1,-5.179379425E0
3.518894125E0,-2.317031708E0,-1.958197906E1,-4.422104187E0
3.528896125E0,-1.972298584E0,-1.852996674E1,-3.286715240E0
3.538897125E0,-1.551822968E0,-1.742691055E1,1.416953430E0
3.548898125E0,-1.521585846E0,-1.549472855E1,9.177415466E0
3.558900125E0,-7.002438354E-1,-1.182930084E1,8.681796112E0
3.568901125E0,5.284011841E-2,-8.837173004E0,5.460195465E0
3.578902125E0,2.737806702E-1,-6.475384369E0,4.148173828E0
3.588903125E0,7.923023987E-1,-4.227209473E0,2.038011932E0
3.598905125E0,1.026864624E0,-2.632425842E0,8.583151245E-1
3.608906125E0,1.097667389E0,-1.672472076E0,2.977308655E-1
